,일자,야간_외국인_선물,다음날_정규장_외국인_현물,다음날_정규장_외국인_선물,K200지수_상승률
0,2025-06-10,151.0,980.0,-806.0,1.2994100678292053
1,2025-06-11,316.0,4217.0,1424.0,0.21293517021985786
2,2025-06-12,-1772.0,746.0,2403.0,-0.8499308791152509
3,2025-06-13,584.0,-3832.0,-679.0,1.771236767363804
4,2025-06-16,546.0,-2486.0,-1863.0,0.2587781611528267
5,2025-06-17,-91.0,1774.0,-1378.0,0.9312212156485669
6,2025-06-18,-389.0,-1331.0,-2534.0,0.10780725066439523
7,2025-06-19,-415.0,5733.0,1948.0,1.5101805705126532
8,2025-06-20,25.0,-5141.0,-9098.0,-0.24671864206059407
9,2025-06-23,-1697.0,3063.0,-1442.0,3.324099722991689
10,2025-06-24,250.0,-2870.0,-7380.0,0.41890080428954424
11,2025-06-25,-694.0,-7105.0,-2235.0,-0.9177373602536211
12,2025-06-26,699.0,-7965.0,1754.0,-0.707308858201414
13,2025-06-27,795.0,-6978.0,3775.0,0.45551463461911107
14,2025-06-30,-415.0,210.0,1286.0,0.40038591413409746
15,2025-07-01,-493.0,-3144.0,-2928.0,-0.4396290779801048
16,2025-07-02,-564.0,6078.0,3148.0,1.570832227396663
17,2025-07-03,-54.0,1925.0,-4291.0,-1.9480210956430817
18,2025-07-04,-726.0,-973.0,5070.0,0.06783931773028365
19,2025-07-07,675.0,377.0,6275.0,1.9853760108469434
20,2025-07-08,515.0,-5579.0,-2662.0,0.189924505009248
21,2025-07-09,-688.0,5249.0,769.0,1.5165158049381626
